glyph_name,ps_name,sort_design,sort_final
naai-cans,uni14C1,,
ni-cans,uni14C2,,
nii-cans,uni14C3,,
no-cans,uni14C4,,
noo-cans,uni14C5,,
nooYCree-cans,uni14C6,,
na-cans,uni14C7,,
naa-cans,uni14C8,,
nwe-cans,uni14C9,,
nweWestCree-cans,uni14CA,,
nwa-cans,uni14CB,,
nwaWestCree-cans,uni14CC,,
nwaa-cans,uni14CD,,
nwaaWestCree-cans,uni14CE,,
nwaaNaskapi-cans,uni14CF,,
n-cans,uni14D0,,
ngCarrier-cans,uni14D1,,
nh-cans,uni14D2,,
le-cans,uni14D3,,
laai-cans,uni14D4,,
li-cans,uni14D5,,
lii-cans,uni14D6,,
lo-cans,uni14D7,,
loo-cans,uni14D8,,
looYCree-cans,uni14D9,,
la-cans,uni14DA,,
laa-cans,uni14DB,,
lwe-cans,uni14DC,,
lweWestCree-cans,uni14DD,,
lwi-cans,uni14DE,,
lwiWestCree-cans,uni14DF,,
lwii-cans,uni14E0,,
lwiiWestCree-cans,uni14E1,,
lwo-cans,uni14E2,,
lwoWestCree-cans,uni14E3,,
lwoo-cans,uni14E4,,
lwooWestCree-cans,uni14E5,,
lwa-cans,uni14E6,,
lwaWestCree-cans,uni14E7,,
lwaa-cans,uni14E8,,
lwaaWestCree-cans,uni14E9,,
l-cans,uni14EA,,
lWestCree-cans,uni14EB,,
lMedial-cans,uni14EC,,
se-cans,uni14ED,,
saai-cans,uni14EE,,
si-cans,uni14EF,,
sii-cans,uni14F0,,
so-cans,uni14F1,,
soo-cans,uni14F2,,
sooYCree-cans,uni14F3,,
sa-cans,uni14F4,,
saa-cans,uni14F5,,
swe-cans,uni14F6,,
sweWestCree-cans,uni14F7,,
swi-cans,uni14F8,,
swiWestCree-cans,uni14F9,,
swii-cans,uni14FA,,
swiiWestCree-cans,uni14FB,,
swo-cans,uni14FC,,
swoWestCree-cans,uni14FD,,
swoo-cans,uni14FE,,
swooWestCree-cans,uni14FF,,
swa-cans,uni1500,,
swaWestCree-cans,uni1501,,
swaa-cans,uni1502,,
swaaWestCree-cans,uni1503,,
swaaNaskapi-cans,uni1504,,
s-cans,uni1505,,
sAthapaskan-cans,uni1506,,
sw-cans,uni1507,,
sBlackfoot-cans,uni1508,,
skMooseCree-cans,uni1509,,
skwNaskapi-cans,uni150A,,
swNaskapi-cans,uni150B,,
spaNaskapi-cans,uni150C,,
staNaskapi-cans,uni150D,,
skaNaskapi-cans,uni150E,,
scwaNaskapi-cans,uni150F,,
she-cans,uni1510,,
shi-cans,uni1511,,
shii-cans,uni1512,,
sho-cans,uni1513,,
shoo-cans,uni1514,,
sha-cans,uni1515,,
shaa-cans,uni1516,,
shwe-cans,uni1517,,
shweWestCree-cans,uni1518,,
shwi-cans,uni1519,,
shwiWestCree-cans,uni151A,,
shwii-cans,uni151B,,
shwiiWestCree-cans,uni151C,,
shwo-cans,uni151D,,
shwoWestCree-cans,uni151E,,
shwoo-cans,uni151F,,
shwooWestCree-cans,uni1520,,
shwa-cans,uni1521,,
shwaWestCree-cans,uni1522,,
shwaa-cans,uni1523,,
shwaaWestCree-cans,uni1524,,
sh-cans,uni1525,,
ye-cans,uni1526,,
yaai-cans,uni1527,,
yi-cans,uni1528,,
yii-cans,uni1529,,
yo-cans,uni152A,,
yoo-cans,uni152B,,
yooYCree-cans,uni152C,,
ya-cans,uni152D,,
yaa-cans,uni152E,,
ywe-cans,uni152F,,
yweWestCree-cans,uni1530,,
ywi-cans,uni1531,,
ywiWestCree-cans,uni1532,,
ywii-cans,uni1533,,
ywiiWestCree-cans,uni1534,,
ywo-cans,uni1535,,
ywoWestCree-cans,uni1536,,
ywoo-cans,uni1537,,
ywooWestCree-cans,uni1538,,
ywa-cans,uni1539,,
ywaWestCree-cans,uni153A,,
ywaa-cans,uni153B,,
ywaaWestCree-cans,uni153C,,
ywaaNaskapi-cans,uni153D,,
y-cans,uni153E,,
yBibleCree-cans,uni153F,,
yWestCree-cans,uni1540,,
yiSayisi-cans,uni1541,,
re-cans,uni1542,,
reRCree-cans,uni1543,,
leWestCree-cans,uni1544,,
raai-cans,uni1545,,
ri-cans,uni1546,,
rii-cans,uni1547,,
ro-cans,uni1548,,
roo-cans,uni1549,,
loWestCree-cans,uni154A,,
ra-cans,uni154B,,
raa-cans,uni154C,,
laWestCree-cans,uni154D,,
rwaa-cans,uni154E,,
rwaaWestCree-cans,uni154F,,
r-cans,uni1550,,
rWestCree-cans,uni1551,,
rMedial-cans,uni1552,,
fe-cans,uni1553,,
faai-cans,uni1554,,
fi-cans,uni1555,,
fii-cans,uni1556,,
fo-cans,uni1557,,
foo-cans,uni1558,,
fa-cans,uni1559,,
faa-cans,uni155A,,
fwaa-cans,uni155B,,
fwaaWestCree-cans,uni155C,,
f-cans,uni155D,,
the-cans,uni155E,,
